Account Number,Account Name,Category,Department,Balance,,,,,,,
1000,Accumulated Depreciation - Admin,Assets,Admin,"($62,867)",,,,,,,
1010,Fixed Assets - IT,Assets,IT,"$36,660",,,,,,,
1021,Fixed Assets - IT,Assets,IT,"$32,186",,,,,,,
1031,Inventory - Ops,Assets,Ops,"$118,459",,,,,,,
1043,Cash - Corporate,Assets,Corporate,"$366,508",,,,,,,
1052,Accumulated Depreciation - Warehouse,Assets,Warehouse,"($56,907)",,,,,,,
1061,Inventory - Admin,Assets,Admin,"$100,134",,,,,,,
1072,Accounts Receivable - Sales,Assets,Sales,"$18,401",,,,,,,
1081,Accumulated Depreciation - Ops,Assets,Ops,"($33,234)",,,,,,,
1090,Cash - Ops,Assets,Ops,"$87,019",,,,,,,
1103,Accounts Receivable - Corporate,Assets,Corporate,"$4,468",,,,,,,
1114,Accounts Receivable - Corporate,Assets,Corporate,"$47,302",,,,,,,
1121,Inventory - Ops,Assets,Ops,"$36,974",,,,,,,
1130,Prepaid Expense - Warehouse,Assets,Warehouse,"$22,266",,,,,,,
1145,Fixed Assets - Admin,Assets,Admin,"$119,331",,,,,,,
1150,Accumulated Depreciation - Sales,Assets,Sales,"($23,842)",,,,,,,
1162,Cash - Corporate,Assets,Corporate,"$119,436",,,,,,,
1174,Accounts Receivable - Warehouse,Assets,Warehouse,"$217,536",,,,,,,
1181,Inventory - Sales,Assets,Sales,"$35,390",,,,,,,
1193,Accounts Receivable - Corporate,Assets,Corporate,"$40,973",,,,,,,
1203,Accumulated Depreciation - Sales,Assets,Sales,"($29,140)",,,,,,,
1214,Inventory - Admin,Assets,Admin,"$45,468",,,,,,,
1222,Fixed Assets - Ops,Assets,Ops,"$52,519",,,,,,,
1231,Prepaid Expense - IT,Assets,IT,"$4,718",,,,,,,
1245,Accumulated Depreciation - Admin,Assets,Admin,"($76,423)",,,,,,,
2004,Accrued Expense - Ops,Liabilities,Ops,"($31,179)",,,,,,,
2014,Accounts Payable - IT,Liabilities,IT,"($4,999)",,,,,,,
2021,Accounts Payable - Ops,Liabilities,Ops,"($26,647)",,,,,,,
2033,Notes Payable - Sales,Liabilities,Sales,"($126,937)",,,,,,,
2041,Notes Payable - Ops,Liabilities,Ops,"($48,860)",,,,,,,
2054,Payroll Liabilities - IT,Liabilities,IT,"($168,462)",,,,,,,
2064,Accrued Expense - Admin,Liabilities,Admin,"($2,151)",,,,,,,
2070,Accounts Payable - Warehouse,Liabilities,Warehouse,"($26,034)",,,,,,,
2085,Accrued Expense - Corporate,Liabilities,Corporate,"($23,528)",,,,,,,
2090,Notes Payable - Sales,Liabilities,Sales,"($40,949)",,,,,,,
2100,Accrued Expense - Sales,Liabilities,Sales,"($101,926)",,,,,,,
2115,Payroll Liabilities - Admin,Liabilities,Admin,"($78,941)",,,,,,,
2124,Deferred Revenue - Sales,Liabilities,Sales,"($17,061)",,,,,,,
2132,Payroll Liabilities - IT,Liabilities,IT,"($10,793)",,,,,,,
2145,Deferred Revenue - Ops,Liabilities,Ops,"($25,874)",,,,,,,
2150,Accrued Expense - Warehouse,Liabilities,Warehouse,"($143,616)",,,,,,,
2160,Deferred Revenue - Sales,Liabilities,Sales,"($86,368)",,,,,,,
2174,Payroll Liabilities - IT,Liabilities,IT,"($21,178)",,,,,,,
2181,Notes Payable - Admin,Liabilities,Admin,"($66,683)",,,,,,,
2190,Accounts Payable - IT,Liabilities,IT,"($80,110)",,,,,,,
2201,Deferred Revenue - Ops,Liabilities,Ops,"($4,138)",,,,,,,
2215,Payroll Liabilities - IT,Liabilities,IT,"($106,966)",,,,,,,
2224,Deferred Revenue - IT,Liabilities,IT,"($84,644)",,,,,,,
2235,Payroll Liabilities - Warehouse,Liabilities,Warehouse,"($156,183)",,,,,,,
2242,Accounts Payable - Corporate,Liabilities,Corporate,"($68,027)",,,,,,,
3005,Distributions - IT,Equity,IT,"($24,302)",,,,,,,
3014,Retained Earnings - Warehouse,Equity,Warehouse,"($17,062)",,,,,,,
3023,Distributions - IT,Equity,IT,"($32,010)",,,,,,,
3030,Retained Earnings - Corporate,Equity,Corporate,"($12,047)",,,,,,,
3042,Retained Earnings - Corporate,Equity,Corporate,"($20,134)",,,,,,,
3053,Common Stock - IT,Equity,IT,"($173,013)",,,,,,,
3061,Current Year Earnings - Ops,Equity,Ops,"($236,162)",,,,,,,
3074,Retained Earnings - Corporate,Equity,Corporate,"($31,653)",,,,,,,
3084,Distributions - IT,Equity,IT,"($9,421)",,,,,,,
3092,Current Year Earnings - IT,Equity,IT,"($538,882)",,,,,,,
3101,Current Year Earnings - Corporate,Equity,Corporate,"($23,881)",,,,,,,
3110,Distributions - Warehouse,Equity,Warehouse,"($16,204)",,,,,,,
3123,Common Stock - IT,Equity,IT,"($21,094)",,,,,,,
3133,Common Stock - Warehouse,Equity,Warehouse,"($18,220)",,,,,,,
3145,Current Year Earnings - Warehouse,Equity,Warehouse,"($271,381)",,,,,,,
3153,Distributions - IT,Equity,IT,"($10,753)",,,,,,,
3161,Retained Earnings - IT,Equity,IT,"($375,248)",,,,,,,
3173,Current Year Earnings - Ops,Equity,Ops,"($17,361)",,,,,,,
3182,Distributions - IT,Equity,IT,"($475,553)",,,,,,,
3194,Common Stock - Corporate,Equity,Corporate,"($21,852)",,,,,,,
3203,Retained Earnings - Ops,Equity,Ops,"($70,737)",,,,,,,
3214,Distributions - Ops,Equity,Ops,"($75,349)",,,,,,,
