NOTICE_DATE,JOB_SITE_NAME,COUNTY_NAME,WDA_NAME,TOTAL_LAYOFF_NUMBER,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME
01/28/2022,Amentum,Bowie,North East Texas WDA,178,03/27/2022,01/28/2022,New Boston
01/06/2022,"Stearns Lending, LLC - Corporate Dr.",Denton,North Central Texas WDA,348,03/13/2022,01/06/2022,Lewisville
12/16/2021,"Monitronics International, Inc. dba Brinks Home",Dallas,Dallas County WDA,42,12/17/2021,12/20/2021,Dallas
12/13/2021,Central Freight Lines - San Antonio,Bexar,Alamo WDA,66,12/17/2021,12/16/2021,San Antonio
12/13/2021,Central Freight Lines,McLennan,Heart of Texas WDA,153,12/13/2021,12/16/2021,Waco
12/13/2021,Central Freight Lines - Houston,Harris,Gulf Coast WDA,162,12/13/2021,12/16/2021,Houston
12/13/2021,"Central Freight Lines, Inc.",Tarrant,Tarrant County WDA,292,12/13/2021,12/16/2021,Ft. Worth
12/06/2021,"Change Healthcare Operations, LLC",Hunt,North Central WDA,145,02/04/2022,12/06/2021,Greenville
11/30/2021,Laredo Transit Management-El Metro Transit,Webb,South Texas WDA,168,01/31/2022,12/02/2021,Laredo
11/23/2021,"Marshal S. Frumin, M.D.",Fort Bend,Gulf Coast WDA,6,12/31/2021,12/02/2021,Sugar Land
11/13/2021,Cypress Creek Emergency Medical Services,Montgomery,Gulf Coast WDA,102,11/13/2021,11/23/2021,Spring
11/04/2021,Zillow Group,Dallas,Dallas County WDA,32,01/03/2022,11/04/2021,Coppell
11/04/2021,YMCA - Waco,McLennan,Heart of Texas WDA,127,12/31/2021,11/04/2021,Waco
10/29/2021,"Odle Management Group, LLC",El Paso,Borderplexjobs WDA,134,10/25/2021,10/29/2021,El Paso
10/11/2021,Luminant Mining Co.-Martin Lake Liberty Mine,Rusk,East Texas WDA,160,12/26/2021,11/08/2021,Tatum
09/30/2021,InterContinental-Stephen F Austin,Travis,Capital Area WDA,35,11/30/2020,03/05/2021,Austin
09/27/2021,NPL,Dallas,Dallas County WDA,60,10/16/2021,09/29/2021,Garland
09/27/2021,NPL - Shiloh Rd.,Dallas,Dallas County WDA,6,10/16/2021,09/29/2021,Garland
09/22/2021,The Children's Shelter-Family Tapestry,Bexar,Alamo WDA,41,11/20/2021,10/11/2021,San Antonio
09/09/2021,CEVA Logistics - Raytheon Facility,Denton,North Central Texas WDA,87,11/09/2021,09/27/2021,Carrollton
09/09/2021,Disney Streaming Technology LLC,Montgomery,Gulf Coast WDA,63,11/10/2021,09/16/2021,The Woodlands
09/09/2021,The Woodlands Enterprises LLC,Montgomery,Gulf Coast WDA,181,11/10/2021,09/15/2021,The Woodlands
08/30/2021,Amentum,Bowie,North East Texas WDA,92,10/29/2021,09/14/2021,New Boston
08/30/2021,Leidos-Killeen,Bell,Central Texas WDA,60,09/29/2021,08/30/2021,Killeen
08/17/2021,Basic Energy Services-Denver City,Yoakum,South Plains WDA,57,10/19/2021,08/20/2021,Denver City
08/17/2021,Basic Energy Services-Andrews2,Andrews,Permian Basin WDA,63,10/19/2021,08/20/2021,Andrews
08/17/2021,Basic Energy Services-Big Springs2,Howard,Permian Basin WDA,135,10/19/2021,08/20/2021,Big Spring
08/17/2021,Basic Energy Services-Ft Worth-ALM Regent,Tarrant,Tarrant County WDA,120,10/19/2021,08/20/2021,Ft. Worth
08/17/2021,Basic Energy Services-Andrews,Andrews,Permian Basin WDA,63,10/19/2021,08/20/2021,Andrews
08/17/2021,Basic Energy Services-Kennedy,Karnes,Gulf Coast WDA,56,10/19/2021,08/20/2021,Kenedy
08/09/2021,Garland Behvaioral Hospital,Dallas,Dallas County WDA,119,10/07/2021,08/10/2021,Garland
08/02/2021,Interim Healthcare-San Antonio,Bexar,Alamo WDA,366,10/01/2021,08/03/2021,San Antonio
07/27/2021,Crothall Healthcare-DeTar Healthcare,Victoria,Golden Crescent WDA,53,09/30/2021,08/03/2021,Victoria
07/27/2021,Management & Training-Willacy County Regional Correction,Willacy,Lower Rio Grande Valley WDA,186,09/30/2021,07/27/2021,Raymondville
07/09/2021,U.S. Well Services - Pleasanton,Atascosa,Alamo WDA,66,09/07/2021,07/12/2021,Pleasanton
07/07/2021,Tranter Inc.,Wichita,North Texas WDA,78,10/01/2021,07/08/2021,Wichita Falls
07/03/2021,Fusion Logistics Inc. - Farmers Branch,Dallas,Dallas County WDA,57,07/12/2021,07/08/2021,Farmers Branch
07/03/2021,Fusion Logistics Inc. - Garland,Dallas,Dallas County WDA,50,07/12/2021,07/08/2021,Garland
07/03/2021,Fusion Logistics  Inc. - Coppell,Dallas,Dallas County WDA,62,07/12/2021,07/08/2021,Coppell
07/03/2021,Fusion Logistics Inc. - Ft. Worth,Tarrant,Tarrant County WDA,53,07/12/2021,07/08/2021,Fort Worth
07/03/2021,Fusion Logistics Inc. - Houston,Harris,Gulf Coast WDA,81,07/12/2021,07/08/2021,Houston
07/01/2021,"XPO Logistics Supply Chain, LLC",Bexar,Alamo WDA,29,08/02/2021,07/23/2021,San Antonio
