Account Number,Account Name,Category,Department,Balance,,,,,,,
1000,Accumulated Depreciation - Admin,Assets,Admin,"($78,173)",,,,,,,
1010,Fixed Assets - IT,Assets,IT,"$29,855",,,,,,,
1021,Fixed Assets - IT,Assets,IT,"$28,902",,,,,,,
1031,Inventory - Ops,Assets,Ops,"$160,013",,,,,,,
1043,Cash - Corporate,Assets,Corporate,"$365,140",,,,,,,
1052,Accumulated Depreciation - Warehouse,Assets,Warehouse,"($51,123)",,,,,,,
1061,Inventory - Admin,Assets,Admin,"$99,460",,,,,,,
1072,Accounts Receivable - Sales,Assets,Sales,"$20,621",,,,,,,
1081,Accumulated Depreciation - Ops,Assets,Ops,"($31,634)",,,,,,,
1090,Cash - Ops,Assets,Ops,"$100,381",,,,,,,
1103,Accounts Receivable - Corporate,Assets,Corporate,"$4,748",,,,,,,
1114,Accounts Receivable - Corporate,Assets,Corporate,"$48,576",,,,,,,
1121,Inventory - Ops,Assets,Ops,"$46,931",,,,,,,
1130,Prepaid Expense - Warehouse,Assets,Warehouse,"$23,754",,,,,,,
1145,Fixed Assets - Admin,Assets,Admin,"$130,735",,,,,,,
1150,Accumulated Depreciation - Sales,Assets,Sales,"($29,666)",,,,,,,
1162,Cash - Corporate,Assets,Corporate,"$111,254",,,,,,,
1174,Accounts Receivable - Warehouse,Assets,Warehouse,"$234,077",,,,,,,
1181,Inventory - Sales,Assets,Sales,"$50,383",,,,,,,
1193,Accounts Receivable - Corporate,Assets,Corporate,"$54,665",,,,,,,
1203,Accumulated Depreciation - Sales,Assets,Sales,"($27,073)",,,,,,,
1214,Inventory - Admin,Assets,Admin,"$39,280",,,,,,,
1222,Fixed Assets - Ops,Assets,Ops,"$58,905",,,,,,,
1231,Prepaid Expense - IT,Assets,IT,"$4,735",,,,,,,
1245,Accumulated Depreciation - Admin,Assets,Admin,"($90,501)",,,,,,,
2004,Accrued Expense - Ops,Liabilities,Ops,"($30,832)",,,,,,,
2014,Accounts Payable - IT,Liabilities,IT,"($5,463)",,,,,,,
2021,Accounts Payable - Ops,Liabilities,Ops,"($16,508)",,,,,,,
2033,Notes Payable - Sales,Liabilities,Sales,"($169,941)",,,,,,,
2041,Notes Payable - Ops,Liabilities,Ops,"($56,737)",,,,,,,
2054,Payroll Liabilities - IT,Liabilities,IT,"($135,103)",,,,,,,
2064,Accrued Expense - Admin,Liabilities,Admin,"($2,433)",,,,,,,
2070,Accounts Payable - Warehouse,Liabilities,Warehouse,"($30,922)",,,,,,,
2085,Accrued Expense - Corporate,Liabilities,Corporate,"($17,845)",,,,,,,
2090,Notes Payable - Sales,Liabilities,Sales,"($45,188)",,,,,,,
2100,Accrued Expense - Sales,Liabilities,Sales,"($126,577)",,,,,,,
2115,Payroll Liabilities - Admin,Liabilities,Admin,"($63,816)",,,,,,,
2124,Deferred Revenue - Sales,Liabilities,Sales,"($25,142)",,,,,,,
2132,Payroll Liabilities - IT,Liabilities,IT,"($14,146)",,,,,,,
2145,Deferred Revenue - Ops,Liabilities,Ops,"($28,492)",,,,,,,
